domain,url,title,byteLength,linkCount
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/dram20031,,882,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/bmen70001/print,,882,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/educ80002/further-information,,882,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/geom90026,,882,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/elen30010,,882,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/arts30001/assessment,,882,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/crim30010,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/indg20005/eligibility-and-requirements,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/must20016,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/must20016/dates-times,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/pols30030/dates-times,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/chin30005/print,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/educ91370/dates-times,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/pr-invprac,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/courses/d-genst,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/courses/d-genst/attributes-outcomes-skills,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/courses/552aa/print,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/572at/attributes-outcomes-skills,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/080cn/entry-participation-requirements,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/dr-phillaw/course-structure,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/psyc10007/further-information,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/educ91351/further-information,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/musi90251/dates-times,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/poph90303,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/musi30227/dates-times,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/hpsc40019,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/elen20006,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/fltv20018,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/busa90271,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/medi90113,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/pols70006/eligibility-and-requirements,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/comp80001/further-information,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/educ20081,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/components/btrack-29,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/hpsc10002/further-information,,883,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/lang10001/further-information,,883,0
education.unimelb.edu.au,https://education.unimelb.edu.au/cws/study/positive-psychology-as-breadth,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/502cw,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/277aa,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/gd-laws,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/search?page=10,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/ling20006/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/ling20006/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/mast30028/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/japn20007/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/euro20009/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/fltv30022,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/span10007/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/span10007/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/fren30017/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/scrn30005/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/scrn30005/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/geog30030/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/geog30030/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/russ20004/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/indo10014/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/geol20002/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/geol20002/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/psyc30016/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/hist20084,,884,0
