cluster,jaccard,shared_key,domain_a,domain_b,url_a,url_b,words_a,words_b,shell_a,shell_b
4.2_BCom_careers_FBE_vs_MBS,0.934,fbe-student-calendar/aug/fbe-employability-drop-in,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/aug/fbe-employability-drop-in,https://mbs.unimelb.edu.au/career/fbe-student-calendar/aug/fbe-employability-drop-in,301,299,0,0
4.2_BCom_careers_FBE_vs_MBS,0.934,fbe-student-calendar/aug/fbe-employability-drop-in2,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/aug/fbe-employability-drop-in2,https://mbs.unimelb.edu.au/career/fbe-student-calendar/aug/fbe-employability-drop-in2,301,299,0,0
4.2_BCom_careers_FBE_vs_MBS,0.934,fbe-student-calendar/aug/fbe-employability-drop-in3,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/aug/fbe-employability-drop-in3,https://mbs.unimelb.edu.au/career/fbe-student-calendar/aug/fbe-employability-drop-in3,301,299,0,0
4.2_BCom_careers_FBE_vs_MBS,0.934,fbe-student-calendar/aug/fbe-employability-drop-in4,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/aug/fbe-employability-drop-in4,https://mbs.unimelb.edu.au/career/fbe-student-calendar/aug/fbe-employability-drop-in4,301,299,0,0
4.2_BCom_careers_FBE_vs_MBS,0.934,fbe-student-calendar/sep/fbe-employability-drop-in3,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/sep/fbe-employability-drop-in3,https://mbs.unimelb.edu.au/career/fbe-student-calendar/sep/fbe-employability-drop-in3,301,299,0,0
4.2_BCom_careers_FBE_vs_MBS,0.934,fbe-student-calendar/sep/fbe-employability-drop-in2,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/sep/fbe-employability-drop-in2,https://mbs.unimelb.edu.au/career/fbe-student-calendar/sep/fbe-employability-drop-in2,301,299,0,0
4.2_BCom_careers_FBE_vs_MBS,0.934,fbe-student-calendar/sep/fbe-employability-drop-in4,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/sep/fbe-employability-drop-in4,https://mbs.unimelb.edu.au/career/fbe-student-calendar/sep/fbe-employability-drop-in4,301,299,0,0
4.2_BCom_careers_FBE_vs_MBS,0.934,fbe-student-calendar/oct/fbe-employability-drop-in,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/oct/fbe-employability-drop-in,https://mbs.unimelb.edu.au/career/fbe-student-calendar/oct/fbe-employability-drop-in,301,299,0,0
4.2_BCom_careers_FBE_vs_MBS,0.934,fbe-student-calendar/oct/fbe-employability-drop-in2,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/oct/fbe-employability-drop-in2,https://mbs.unimelb.edu.au/career/fbe-student-calendar/oct/fbe-employability-drop-in2,301,299,0,0
4.2_BCom_careers_FBE_vs_MBS,0.934,fbe-student-calendar/oct/fbe-employability-drop-in3,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/oct/fbe-employability-drop-in3,https://mbs.unimelb.edu.au/career/fbe-student-calendar/oct/fbe-employability-drop-in3,301,299,0,0
