unit_slug,faculty,level,url,title,wordCount,classification,topics
law,Law,faculty,https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes/sprp,Student Published Research Prize,130,link-farm,research-candidature|scholarships|enrolment
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students,Our Graduate Researchers,292,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/aashish-yadav,Aashish Yadav,304,unique,research-candidature|exams-results|placements-WIL|inclusion-equity
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/allanah-colley,Allanah Colley,373,unique,research-candidature|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/alumita-lekenaua,Alumita Lekenaua,509,unique,research-candidature|careers-employability
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/andrea-furger,Andrea Furger,420,unique,research-candidature|exams-results|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/andrea-immanuel,Andrea Immanuel,302,unique,research-candidature|international|inclusion-equity
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/astrid-bernal-rubio,Astrid Milena Bernal Rubio,275,unique,research-candidature|international|inclusion-equity
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/azadah-raz-mohammad,Azadah Raz Mohammad,290,unique,research-candidature|international|inclusion-equity
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/balu-gopalakrishnan-nair,Balu Gopalakrishnan Nair,293,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/belete-yemata,Belete Yemata,180,unique,research-candidature|clubs-events
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/bongkot-napaumporn,Bongkot Napaumporn,727,unique,research-candidature|placements-WIL|student-life|clubs-events
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/charlie-hock,Charlie Hock,312,unique,research-candidature|exams-results
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/chin-yang-joseph-lau,Chin Yang Joseph Lau,294,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/daniel-goldsworthy,Daniel Goldsworthy,296,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/daria-vasilevskaia,Daria Vasilevskaia,420,unique,research-candidature|enrolment|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/debaranjan-goswami,Debaranjan Goswami,265,unique,research-candidature|orientation
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/elisabeth-lopez-desvars,Elisabeth Lopez Desvars,235,unique,research-candidature|exams-results|scholarships|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/elliot-legendre,Elliot Legendre,194,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/emilia-sterjova,Emilia Sterjova,312,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/emma-finlay,Emma Finlay,293,unique,research-candidature|exams-results|placements-WIL|clubs-events
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/eryanto-nugroho,Eryanto Nugroho,270,unique,research-candidature|clubs-events|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/fia-hamid-walker,Fia Hamid-Walker,617,unique,research-candidature|careers-employability|clubs-events|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/fitria-ratna-wardika,Fitria Ratna Wardika,281,unique,research-candidature|exams-results
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/grace-chaw,Grace Chaw,292,unique,research-candidature|wellbeing-health|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/hannah-gordon,Hannah Gordon,286,unique,research-candidature|forms-admin|inclusion-equity
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/haris-jamil,Haris Jamil,197,unique,research-candidature|exams-results|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/haseenah-huurieyah-wan-rosli,Haseenah Huurieyah Wan Rosli,353,unique,research-candidature|scholarships|contacts-support|inclusion-equity
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/hossain-mohammad-reza,Hossain Mohammad Reza,457,unique,research-candidature|orientation
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/ishika-chatterjee,Ishika Chatterjee,319,unique,research-candidature|inclusion-equity|orientation
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/ishrat-jahan,Ishrat Jahan,352,unique,research-candidature|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/janelle-koh,Janelle Koh,333,unique,research-candidature|scholarships|placements-WIL|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/jasmine-ali,Jasmine Ali,283,unique,research-candidature|international|exams-results|careers-employability
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/jesse-hartery,Jesse Hartery,406,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/jessica-bridges,Jessica Bridges,269,unique,research-candidature|exams-results|scholarships|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/jiacheng-gong,Jiacheng Gong,338,unique,research-candidature|orientation
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/john-sebastian,John Sebastian,347,unique,research-candidature|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/kevin-yam,Kevin Yam,328,unique,research-candidature|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/kinkino-legide,Kinkino Legide,256,unique,research-candidature|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/lauren-bellamy,Lauren Bellamy,306,unique,research-candidature|exams-results|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/liam-elphick,Liam Elphick,381,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/lilia-anderson,Lilia Anderson,240,unique,research-candidature|exams-results|clubs-events|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/lydie-schmidt,Lydie Schmidt,246,unique,research-candidature|exams-results|wellbeing-health|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/magdalena-sylister,Magdalena Sylister,278,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/malini-chidambaram,Malini Chidambaram,393,unique,research-candidature|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/marcus-hickleton,Marcus Hickleton,400,unique,research-candidature|exams-results|clubs-events|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/monal-gera,Monal Gera,183,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/monica-hope,Monica Hope,230,unique,research-candidature|forms-admin|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/nimna-prematilaka,Nimna Prematilaka,236,unique,research-candidature|fees-finance|wellbeing-health|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/nurul-zayzda,Nurul Azizah Zayzda,319,unique,research-candidature|inclusion-equity|clubs-events|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/ratu-ayu-asih-kusuma-putri,Ratu Ayu Asih Kusuma Putri,267,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/rebekah-markey-towler,Rebekah Markey-Towler,271,unique,research-candidature|orientation
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/renuka-balasubramaniam,Renuka T Balasubramaniam,415,unique,research-candidature|scholarships|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/shilpa-singh-jaswant,Shilpa Singh Jaswant,295,unique,research-candidature|scholarships
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/sid-saigal,Sid Saigal,267,unique,research-candidature|scholarships|forms-admin|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/sumedha-choudhury,Sumedha Choudhury,242,unique,research-candidature|international|inclusion-equity
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/suprawee-earn-asanasak,Suprawee (Earn) Asanasak,321,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/surabhi-singh,Surabhi Singh,323,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/tegan-evans,Tegan Evans,334,unique,research-candidature
