unit_slug,faculty,classification,wordCount,hubLinks,url,title,topOutboundHosts
law,Law,unique,349,1,https://law.unimelb.edu.au/students/grd,Graduate Researchers | Students | Melbourne Law School,www.unimelb.edu.au:11;law.unimelb.edu.au:7;about.unimelb.edu.au:5
law,Law,link-farm,63,0,https://law.unimelb.edu.au/students/grd/candidature-management/degree-requirements,Degree Requirements,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,355,0,https://law.unimelb.edu.au/students/grd/candidature-management/degree-requirements/graduate-research-coordinators,Graduate Research Coordinators,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,2857,0,https://law.unimelb.edu.au/students/grd/candidature-management/degree-requirements/mphil-law-milestones,MPhil (Law) Milestones,gradresearch.unimelb.edu.au:10;www.unimelb.edu.au:7;law.unimelb.edu.au:4
law,Law,unique,2912,0,https://law.unimelb.edu.au/students/grd/candidature-management/degree-requirements/phd-law-milestones,PhD (Law) Milestones,gradresearch.unimelb.edu.au:9;www.unimelb.edu.au:7;law.unimelb.edu.au:4
law,Law,link-farm,134,0,https://law.unimelb.edu.au/students/grd/candidature-management/supervision,Supervision,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,1593,0,https://law.unimelb.edu.au/students/grd/enrichment,Enrichment,law.unimelb.edu.au:7;www.unimelb.edu.au:7;about.unimelb.edu.au:4
law,Law,unique,216,0,https://law.unimelb.edu.au/students/grd/enrichment/student-life-and-societies,Student Life and Societies,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,265,0,https://law.unimelb.edu.au/students/grd/enrichment/student-life-and-societies/mls-gra,MLS Graduate Researchers Association (GRA),www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,link-farm,129,0,https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes,"Scholarships, Funding and Prizes",www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,link-farm,83,0,https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes/domestic,Domestic,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,link-farm,84,0,https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes/international,International,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,309,0,https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes/mcniff-scholarship,James and Valerie McNiff Scholarship,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,231,0,https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes/research-support-funds,Research Support Funds,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,link-farm,130,0,https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes/sprp,Student Published Research Prize,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,292,0,https://law.unimelb.edu.au/students/grd/students,Our Graduate Researchers,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,304,0,https://law.unimelb.edu.au/students/grd/students/aashish-yadav,Aashish Yadav,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,373,0,https://law.unimelb.edu.au/students/grd/students/allanah-colley,Allanah Colley,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,509,0,https://law.unimelb.edu.au/students/grd/students/alumita-lekenaua,Alumita Lekenaua,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,420,0,https://law.unimelb.edu.au/students/grd/students/andrea-furger,Andrea Furger,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,302,0,https://law.unimelb.edu.au/students/grd/students/andrea-immanuel,Andrea Immanuel,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,275,0,https://law.unimelb.edu.au/students/grd/students/astrid-bernal-rubio,Astrid Milena Bernal Rubio,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,290,0,https://law.unimelb.edu.au/students/grd/students/azadah-raz-mohammad,Azadah Raz Mohammad,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,293,0,https://law.unimelb.edu.au/students/grd/students/balu-gopalakrishnan-nair,Balu Gopalakrishnan Nair,law.unimelb.edu.au:7;www.unimelb.edu.au:7;about.unimelb.edu.au:4
law,Law,unique,180,0,https://law.unimelb.edu.au/students/grd/students/belete-yemata,Belete Yemata,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,727,0,https://law.unimelb.edu.au/students/grd/students/bongkot-napaumporn,Bongkot Napaumporn,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,312,0,https://law.unimelb.edu.au/students/grd/students/charlie-hock,Charlie Hock,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,294,0,https://law.unimelb.edu.au/students/grd/students/chin-yang-joseph-lau,Chin Yang Joseph Lau,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,296,0,https://law.unimelb.edu.au/students/grd/students/daniel-goldsworthy,Daniel Goldsworthy,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,420,0,https://law.unimelb.edu.au/students/grd/students/daria-vasilevskaia,Daria Vasilevskaia,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,265,0,https://law.unimelb.edu.au/students/grd/students/debaranjan-goswami,Debaranjan Goswami,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,235,0,https://law.unimelb.edu.au/students/grd/students/elisabeth-lopez-desvars,Elisabeth Lopez Desvars,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,194,0,https://law.unimelb.edu.au/students/grd/students/elliot-legendre,Elliot Legendre,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,312,0,https://law.unimelb.edu.au/students/grd/students/emilia-sterjova,Emilia Sterjova,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,293,0,https://law.unimelb.edu.au/students/grd/students/emma-finlay,Emma Finlay,law.unimelb.edu.au:7;www.unimelb.edu.au:7;about.unimelb.edu.au:4
law,Law,unique,270,0,https://law.unimelb.edu.au/students/grd/students/eryanto-nugroho,Eryanto Nugroho,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,617,0,https://law.unimelb.edu.au/students/grd/students/fia-hamid-walker,Fia Hamid-Walker,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,281,0,https://law.unimelb.edu.au/students/grd/students/fitria-ratna-wardika,Fitria Ratna Wardika,law.unimelb.edu.au:7;www.unimelb.edu.au:7;about.unimelb.edu.au:4
law,Law,unique,292,0,https://law.unimelb.edu.au/students/grd/students/grace-chaw,Grace Chaw,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,286,0,https://law.unimelb.edu.au/students/grd/students/hannah-gordon,Hannah Gordon,law.unimelb.edu.au:7;www.unimelb.edu.au:7;about.unimelb.edu.au:4
law,Law,unique,197,0,https://law.unimelb.edu.au/students/grd/students/haris-jamil,Haris Jamil,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,353,0,https://law.unimelb.edu.au/students/grd/students/haseenah-huurieyah-wan-rosli,Haseenah Huurieyah Wan Rosli,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,457,0,https://law.unimelb.edu.au/students/grd/students/hossain-mohammad-reza,Hossain Mohammad Reza,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,319,0,https://law.unimelb.edu.au/students/grd/students/ishika-chatterjee,Ishika Chatterjee,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,352,0,https://law.unimelb.edu.au/students/grd/students/ishrat-jahan,Ishrat Jahan,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,333,0,https://law.unimelb.edu.au/students/grd/students/janelle-koh,Janelle Koh,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,283,0,https://law.unimelb.edu.au/students/grd/students/jasmine-ali,Jasmine Ali,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,406,0,https://law.unimelb.edu.au/students/grd/students/jesse-hartery,Jesse Hartery,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,269,0,https://law.unimelb.edu.au/students/grd/students/jessica-bridges,Jessica Bridges,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,338,0,https://law.unimelb.edu.au/students/grd/students/jiacheng-gong,Jiacheng Gong,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,347,0,https://law.unimelb.edu.au/students/grd/students/john-sebastian,John Sebastian,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,328,0,https://law.unimelb.edu.au/students/grd/students/kevin-yam,Kevin Yam,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,256,0,https://law.unimelb.edu.au/students/grd/students/kinkino-legide,Kinkino Legide,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,306,0,https://law.unimelb.edu.au/students/grd/students/lauren-bellamy,Lauren Bellamy,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,381,0,https://law.unimelb.edu.au/students/grd/students/liam-elphick,Liam Elphick,law.unimelb.edu.au:7;www.unimelb.edu.au:7;about.unimelb.edu.au:4
law,Law,unique,240,0,https://law.unimelb.edu.au/students/grd/students/lilia-anderson,Lilia Anderson,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,246,0,https://law.unimelb.edu.au/students/grd/students/lydie-schmidt,Lydie Schmidt,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,278,0,https://law.unimelb.edu.au/students/grd/students/magdalena-sylister,Magdalena Sylister,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,393,0,https://law.unimelb.edu.au/students/grd/students/malini-chidambaram,Malini Chidambaram,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,400,0,https://law.unimelb.edu.au/students/grd/students/marcus-hickleton,Marcus Hickleton,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,183,0,https://law.unimelb.edu.au/students/grd/students/monal-gera,Monal Gera,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,230,0,https://law.unimelb.edu.au/students/grd/students/monica-hope,Monica Hope,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,236,0,https://law.unimelb.edu.au/students/grd/students/nimna-prematilaka,Nimna Prematilaka,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,319,0,https://law.unimelb.edu.au/students/grd/students/nurul-zayzda,Nurul Azizah Zayzda,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,267,0,https://law.unimelb.edu.au/students/grd/students/ratu-ayu-asih-kusuma-putri,Ratu Ayu Asih Kusuma Putri,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,271,0,https://law.unimelb.edu.au/students/grd/students/rebekah-markey-towler,Rebekah Markey-Towler,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
