unit_slug,faculty,level,page_type,url,title,wordCount,classification,topics
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-urban-planning,Master of Urban Planning Studio/Thesis,767,mixed,subjects-timetable|research-candidature|course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-urban-design,Master of Urban Design Studios,377,mixed,subjects-timetable|placements-WIL|contacts-support
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-landscape-architecture,Master of Landscape Architecture Studios,343,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture,Master of Architecture Studios,487,mixed,subjects-timetable|placements-WIL
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive,MSD Studios Archive,297,mixed,subjects-timetable|enrolment|course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/2026-subjects-with-international-travel/southeast-asia-travelling-studio,Southeast Asia Travelling Studio,780,mixed,subjects-timetable|international
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2025,2025,578,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2023m-and-2024,2023 and 2024,1100,mixed,subjects-timetable|international
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2020,2019 Past Studios | Travelling Studios | MSD,789,mixed,subjects-timetable|international
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2019,2019 Past Studios | Travelling Studios | MSD,1502,mixed,subjects-timetable|placements-WIL
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2018,2018 Past Studios | Travelling Studios | MSD,991,mixed,subjects-timetable|international
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2017,2017 Past Studios | Travelling Studios | MSD,1183,mixed,subjects-timetable|international
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2016,2016 Past Studios | Travelling Studios | MSD,1445,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2015,2015 Past Studios | Travelling Studios | MSD,1391,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2014,2014 Past Studios | Travelling Studios | MSD,2444,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2013,2013 Past Studios | Travelling Studios | MSD,1489,mixed,subjects-timetable|placements-WIL
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2012,2012 Past Studios | Travelling Studios | MSD,1423,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2011,2011 Past Studios | Travelling Studios | MSD,1196,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2010,2010 Past Studios | Travelling Studios | MSD,807,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2009,2009 Past Studios | Travelling Studios | MSD,1109,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2008,2008 Past Studios | Travelling Studios | MSD,437,mixed,subjects-timetable|placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/internships-vocational-placements/abpl90434-construction-management-internship,ABPL90434 Construction Management Internship,697,mixed,placements-WIL|subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/internships-vocational-placements/abpl90434-construction-management-internship/how-to-apply,How to apply | ABPL90434,668,mixed,placements-WIL|forms-admin|subjects-timetable
abp,ABP,faculty,stub,https://msd.unimelb.edu.au/current-students/student-experience/peer-mentoring-program/register-for-msd-peer-mentoring,Redirecting...,0,link-farm,student-life|academic-skills
abp,ABP,faculty,stub,https://msd.unimelb.edu.au/current-students/student-experience/access-and-id-cards/student-card-access-error-webform,Redirecting...,0,link-farm,<untagged>
abp,ABP,faculty,stub,https://msd.unimelb.edu.au/current-students/student-experience/it-support/requestfeedback-form,Redirecting...,0,link-farm,forms-admin|IT-systems
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/clubs-and-societies/information-for-clubs,Information for clubs,1641,mixed,clubs-events|forms-admin
abp,ABP,faculty,stub,https://msd.unimelb.edu.au/current-students/student-experience/student-newsletters/n01-edsc-newsletter-submission-form,Redirecting...,0,link-farm,forms-admin
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/msdx-and-student-exhibitions/key-dates,Key dates,585,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/msdx-and-student-exhibitions/msd-student-curator-group,MSD Student Curator Group,772,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/msdx-and-student-exhibitions/installation-tips,Install tips and equipment,711,mixed,placements-WIL
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/student-experience/deans-honours-awards/2023,Dean's Honours Awards 2023,1877,mixed,<untagged>
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/student-experience/deans-honours-awards/2024,Dean's Honours Awards 2024,1924,mixed,<untagged>
