unit_slug,faculty,classification,page_type,wordCount,hubLinks,url,title,topOutboundHosts_exclChrome
abp,ABP,mixed,content,559,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/landscape-architecture-course-plans,Master of Landscape Architecture Course Plans,handbook.unimelb.edu.au:20;students.unimelb.edu.au:14;msd.unimelb.edu.au:5
abp,ABP,mixed,content,592,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-property,Master of Property Sample Course Plans,handbook.unimelb.edu.au:26;students.unimelb.edu.au:14;msd.unimelb.edu.au:5
abp,ABP,mixed,content,453,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-urban-and-cultural-heritage,Master of Urban and Cultural Heritage,handbook.unimelb.edu.au:15;students.unimelb.edu.au:14;msd.unimelb.edu.au:5
abp,ABP,mixed,content,397,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/urban-design,Master of Urban Design Sample Course Plans,students.unimelb.edu.au:14;handbook.unimelb.edu.au:13;msd.unimelb.edu.au:5
abp,ABP,mixed,content,530,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/urban-planning,Master of Urban Planning Sample Course Plans,handbook.unimelb.edu.au:33;students.unimelb.edu.au:14;msd.unimelb.edu.au:5
abp,ABP,mixed,content,365,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/property-valuation,Graduate Diploma in Property Valuation Sample Course Plans,students.unimelb.edu.au:14;handbook.unimelb.edu.au:9;msd.unimelb.edu.au:5
abp,ABP,mixed,content,582,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-architectural-engineering,Master of Architectural Engineering,handbook.unimelb.edu.au:32;students.unimelb.edu.au:14;msd.unimelb.edu.au:5
abp,ABP,mixed,content,916,23,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters,Double Masters Degrees,students.unimelb.edu.au:14;msd.unimelb.edu.au:6;study.unimelb.edu.au:2
abp,ABP,link-farm,stub,0,0,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/d02-application-for-travelling-studio,Redirecting...,
abp,ABP,mixed,content,1001,26,https://msd.unimelb.edu.au/current-students/enrolment/list-of-forms/application-for-extension,Application for Extension,students.unimelb.edu.au:19;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,767,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-urban-planning,Master of Urban Planning Studio/Thesis,students.unimelb.edu.au:14;msd.unimelb.edu.au:9;findanexpert.unimelb.edu.au:8
abp,ABP,mixed,content,377,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-urban-design,Master of Urban Design Studios,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;handbook.unimelb.edu.au:4
abp,ABP,mixed,content,343,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-landscape-architecture,Master of Landscape Architecture Studios,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,487,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture,Master of Architecture Studios,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,297,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive,MSD Studios Archive,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,780,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/2026-subjects-with-international-travel/southeast-asia-travelling-studio,Southeast Asia Travelling Studio,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,578,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2025,2025,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,1100,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2023m-and-2024,2023 and 2024,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,789,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2020,2019 Past Studios | Travelling Studios | MSD,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,1502,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2019,2019 Past Studios | Travelling Studios | MSD,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,991,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2018,2018 Past Studios | Travelling Studios | MSD,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,1183,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2017,2017 Past Studios | Travelling Studios | MSD,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,1445,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2016,2016 Past Studios | Travelling Studios | MSD,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,1391,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2015,2015 Past Studios | Travelling Studios | MSD,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,2444,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2014,2014 Past Studios | Travelling Studios | MSD,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
